,objID,ra,dec,type,petromag_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,redShift,redshiftUncertainty,redShiftWarning,redShiftWarningText,petror90_r
0,1237648673971437623,189.52228,-0.027016383,3,13.87008,16.32763,14.72128,13.88051,13.46587,13.15041,0.01251297,1.123234e-05,0,OK,21.94494
1,1237648673994637807,242.43318,-0.11512294,3,17.2724,18.59342,17.56909,17.2373,17.23942,18.17512,0.005018893,1.212132e-05,0,OK,14.93833
2,1237648675068903947,243.6373,0.82163553,3,14.64123,16.6202,14.87781,14.55383,14.57426,15.27669,0.006617586,2.337325e-05,0,OK,37.91467
3,1237648702969348436,190.01199,-1.0507696,3,21.48359,21.53245,21.35221,21.34199,21.52991,22.24751,0.005298289,9.554308e-06,0,OK,1.424731
4,1237648702975180927,203.22969,-1.1594902,3,14.06122,15.95173,14.6637,14.05966,13.76302,13.55583,0.0126869,1.097585e-05,0,OK,17.50345
5,1237648702977343535,208.22692,-1.11463,3,12.12966,14.06557,12.77967,12.14515,11.75792,11.65058,0.004585617,2.018317e-05,0,OK,72.89983
6,1237648702979375194,212.90746,-1.1561632,3,13.16526,14.93959,13.75986,13.27385,12.89334,12.70928,0.005095313,1.067038e-05,0,OK,68.6096
7,1237648702984683605,225.00545,-1.091117,3,14.9831,16.32475,15.41002,15.00167,14.84394,14.72891,0.006297647,5.120965e-06,0,OK,15.02518
8,1237648703507660888,193.22164,-0.82259414,3,16.73862,18.28052,17.10785,16.73526,16.55063,16.4335,0.004755149,1.764526e-05,0,OK,14.63838
9,1237648703508119858,194.27943,-0.8076305,3,17.5513,18.85851,17.89315,17.57816,17.42415,17.35668,0.009409807,1.051833e-05,0,OK,10.27304
10,1237648703519326351,219.95832,-0.71816513,3,13.04515,14.86331,13.66733,13.52052,13.65573,14.4236,0.005896949,3.614047e-05,0,OK,109.6407
11,1237648703519326352,219.95846,-0.70636323,3,24.80194,18.18669,18.47326,24.80204,24.36181,22.82691,0.005982158,9.138187e-06,0,OK,4.296483
12,1237648703519326353,219.95704,-0.71846387,3,19.19771,20.89076,19.56155,19.05468,18.81225,18.49508,0.005928509,3.954324e-05,0,OK,1.53705
13,1237648703525945748,235.07707,-0.81251353,3,16.45984,18.56099,16.96014,16.45634,16.22913,15.99932,0.0125234,6.203993e-06,0,OK,9.876458
14,1237648704044794112,193.91204,-0.26490299,3,16.40364,17.16641,16.48527,16.15789,16.24771,16.5184,0.00370914,5.848213e-06,0,OK,22.21952
15,1237648704046563336,197.85979,-0.24973076,3,13.32401,15.45389,13.86871,13.12595,12.7627,12.46776,0.01277295,1.061525e-05,0,OK,35.95747
16,1237648704048529754,202.35512,-0.39904381,3,15.81273,17.37449,16.17547,15.77175,15.62059,15.85242,0.01079305,6.548415e-06,0,OK,22.0577
17,1237648704049053815,203.64812,-0.35324483,3,15.14011,16.4687,15.48444,15.14201,15.00648,14.84868,0.01263419,6.063693e-06,0,OK,13.60457
18,1237648704049512499,204.60866,-0.22762131,3,13.43,15.92777,14.09266,13.31986,12.92677,12.65599,0.01239225,5.78229e-06,0,OK,21.89108
19,1237648704054296626,215.599,-0.38770336,3,12.01651,14.27361,12.96516,12.36224,12.00843,12.22215,0.005515854,1.12222e-05,0,OK,87.73666
20,1237648704055673107,218.72583,-0.3426522,3,16.73039,17.90221,17.09666,16.78901,16.65128,16.63117,0.006004397,5.424788e-06,0,OK,10.68054
21,1237648704056197681,219.91945,-0.30254253,3,16.49991,17.97872,17.00286,16.74746,16.53435,16.30511,0.006050064,1.100472e-05,0,OK,18.80703
22,1237648704056262741,220.04478,-0.29398463,3,18.40372,18.77682,18.7614,18.30531,18.96377,18.80743,0.006549815,4.834387e-06,0,OK,1.256223
23,1237648704056328322,220.23482,-0.31817036,3,11.6736,14.53906,12.81322,11.62901,11.04857,10.62917,0.005755075,1.056441e-05,0,OK,51.96191
24,1237648704056524892,220.69137,-0.3510785,3,14.08506,15.59201,14.57665,14.14816,13.95194,13.83326,0.005678178,4.626054e-06,0,OK,20.69316
25,1237648704056918077,221.54637,-0.22296552,3,11.50894,14.30333,12.53998,11.68977,11.24707,10.93075,0.005535014,5.401018e-06,0,OK,46.09499
26,1237648704059605287,227.69682,-0.34833315,3,16.08372,17.40063,16.31422,15.9805,16.15512,15.76936,0.007202491,5.135042e-06,0,OK,17.94836
27,1237648704062423712,234.0645,-0.34940493,3,17.47262,18.90729,17.84854,17.42991,17.24517,17.0279,0.01000118,1.440954e-05,0,OK,12.34644
28,1237648704576946202,183.06137,0.072311613,3,15.62623,16.73566,15.84482,15.65576,15.61498,15.50557,0.007831382,4.220996e-06,0,OK,8.01702
29,1237648704578846903,187.4952,0.027217958,3,15.59582,18.14037,16.5964,15.67611,15.25679,14.88714,0.008045804,7.0985e-06,0,OK,8.812491
30,1237648704580223169,190.61562,0.048208922,3,16.55643,17.62543,16.84462,16.56163,16.43825,16.34171,0.005102077,5.998737e-06,0,OK,13.67001
31,1237648704581664772,193.80272,0.11666026,3,13.23921,15.71422,14.09336,13.47029,13.2293,13.25774,0.004402257,1.255931e-05,0,OK,54.81316
32,1237648704586580210,205.13242,0.0063031447,3,16.06446,17.46375,16.4018,16.00213,15.81155,15.66194,0.01237381,6.486546e-06,0,OK,18.87889
33,1237648704593068568,219.92758,0.056193634,3,17.73167,18.99134,17.95382,17.69674,17.48648,17.57262,0.005732589,8.645712e-06,0,OK,9.356831
34,1237648704593133726,220.06366,0.20670606,3,16.19972,17.70953,16.62706,16.21041,16.04868,15.95152,0.006228141,5.42765e-06,0,OK,11.63928
35,1237648704596017571,226.67071,0.076736997,3,16.99448,19.09935,17.70608,17.06143,16.79598,16.58546,0.00554662,3.716945e-05,0,OK,10.80024
36,1237648705114406969,184.47837,0.43481687,3,21.04742,22.45016,21.91235,20.87991,20.00669,19.57532,0.00313879,1.883146e-05,0,OK,1.530901
37,1237648705114800193,185.27933,0.4613369,3,17.26962,18.13404,17.43918,17.24961,17.18066,17.11399,0.006317841,4.451309e-06,0,OK,5.427557
38,1237648705114996928,185.79147,0.42706165,3,17.65828,18.7085,17.92186,17.65836,17.57373,17.51585,0.008075255,6.594532e-06,0,OK,8.972589
39,1237648705116504170,189.18628,0.56337807,3,17.50024,18.61726,17.82775,17.54557,17.43004,17.30188,0.012473,5.358217e-06,0,OK,6.180626
