dr12objid,RA,DEC,j,jIvar,h,hIvar,k,kIvar
1237649961917153325,47.41282,-7.846169,15.92,53.27935,15.16,44.44444,13.952,0
1237649961381068943,49.37382,-8.145242,15.174,0,15.59,15.87277,14.346,0
1237648721222303890,160.731,-0.1402824,16.563,41.62331,15.968,40.05768,15.092,0
1237648720167174259,203.2723,-1.035819,12.399,168.6625,11.674,98.0296,11.15,330.5785
1237648705128759433,217.1577,0.5531439,14.518,0,15.112,16.25911,14.571,30.8642
1237648704581664772,193.8027,0.1166603,15.619,49.59333,14.917,40.5696,14.668,40.5696
1237648704056328322,220.2348,-0.3181704,12.074,69.44444,11.082,51.75716,10.597,118.1474
1237648704054296626,215.599,-0.3877034,15.754,35.43084,14.949,22.04148,14.711,35.85643
1237648704049512499,204.6087,-0.2276213,13.387,104.1233,12.777,82.64463,12.273,126.2467
1237648702984683605,225.0054,-1.091117,16.079,25,14.286,0,14.022,0
1237651252583399428,233.3661,56.55968,13.907,108.5069,12.977,115.6203,12.9,152.4158
1237651252583334116,233.3523,56.60874,15.643,87.34387,14.896,70.61648,14.592,82.64463
1237652899151478791,32.41051,-10.14627,12.784,84.16801,11.797,76.94675,11.158,210.0399
1237652899151413295,32.33686,-10.13308,12.445,141.7234,11.683,92.45562,11.082,384.4675
1237652899150889022,31.14511,-10.10847,15.995,27.99474,15.734,11.97304,14.123,0
1237652899149250613,27.29519,-10.42665,11.899,918.2736,11.02,1189.061,10.855,692.5208
1237651822172110865,215.0182,3.992798,14.158,31.21001,13.516,22.46131,12.975,34.60207
1237651754542956604,170.3541,3.013952,14.632,46.27701,13.876,46.27701,13.453,78.31467
1237651737384255596,218.1881,2.914944,16.306,16.65973,14.475,0,14.174,0
1237651537649139891,233.3568,56.69905,16.478,42.71861,15.581,47.56243,15.452,0
1237651537649139745,233.5096,56.68571,12.402,307.787,11.657,187.6525,11.167,540.8328
1237651298185838753,260.1073,62.60368,14.825,138.4083,14.141,94.25959,13.98,75.61436
1237651297112948763,259.6298,60.58612,14.627,177.7778,14.027,148.721,13.727,182.615
1237651297112948762,259.6713,60.60812,13.123,160.2307,12.073,160.2307,11.357,493.8271
1237651252044562546,226.3989,59.09378,14.164,0,13.351,0,13.488,210.0399
1237651226782073183,259.0604,60.41221,16.204,54.86968,14.659,0,14.325,0
1237651226781352122,258.0456,61.91493,16.147,44.44444,15.517,22.89325,14.545,0
1237651224634392615,255.3041,60.25146,15.902,29.86055,14.323,0,13.974,0
1237651192424169737,115.4783,38.49826,16.218,94.25959,15.735,36.73094,14.47,0
1237651189753053513,150.504,59.25231,14.308,156.25,13.559,115.6203,13.151,251.9526
