galexid,sdss_id,survey,nuvExposureTime,fuvExposureTime,ra,dec,nuv_mag,nuv_magErr,fuv_mag,fuv_magErr,e_bv
2391835951328396545,1237667966962434077,NGS,1638.65,1638.65,234.131903323546,16.6066690333688,14.1262607574463,0.00215924950316548,14.5760536193848,0.00398133648559451,0.0543499700725079
2411609568240993067,1237648722290606136,MIS,1676.25,1676.25,148.334415477016,0.697854292066159,18.6064548492432,0.0278433579951525,20.7968082427979,0.113367922604084,0.0564152710139751
2413861368054684672,1237648720159965190,MIS,1118.25,535.15,186.727960183749,-0.878325460629131,17.7018585205078,0.0249026566743851,19.9156455993652,0.150325313210487,0.0234105456620455
2423150042286135580,1237649962455400505,MIS,1690.05,1690.05,50.5728823729575,-7.09070211822961,15.945276260376,0.00522590894252062,17.8704357147217,0.0162815395742655,0.0717919766902924
2430186916703898610,1237654879666962441,MIS,1696,1696,223.272114533897,3.33062804672531,15.73033618927,0.00519126746803522,16.1441059112549,0.0111789144575596,0.0500405877828598
2433423878936073057,1237654953207136642,MIS,1706,1706,254.871122070181,39.2266984969391,18.3734817504883,0.0158805977553129,18.6681900024414,0.0272867530584335,0.0193722117692232
2483174581068637111,1237663784215117996,NGS,1597.45,1597.45,40.5017734500573,0.0145383296690878,-999,-999,21.5001277923584,0.199460119009018,0.0302495341747999
2492146595951289853,1237661417138094141,NGS,1037.05,1037.05,210.318528838217,54.4188215578645,-999,-999,21.5870590209961,0.222891137003899,0.00848490931093693
2492146595952332615,1237661417138356265,NGS,1037.05,1037.05,211.340620431645,54.2699245795292,19.1973285675049,0.037841409444809,20.2689838409424,0.0817245841026306,0.0109266070649028
2499394576602634782,1237658629695668387,NGS,4685.95,1576.1,187.81491732576,12.3321903661189,19.7513828277588,0.0331078954041004,21.1383800506592,0.0766324251890183,0.0224110558629036
2837129364283329273,1237654601557671963,MIS,1693.05,1693.05,136.902951023529,3.3928484825131,17.8848495483398,0.0177937485277653,20.045389175415,0.0728813111782074,0.0318799950182438
2483104212325507808,1237652900765499433,NGS,3775.7,2949.55,40.1373190225017,-8.14764708732668,17.9348564147949,0.0131424386054277,20.2056484222412,0.0437683761119843,0.0249399933964014
2837129364283328459,1237654601557737549,MIS,1693.05,1693.05,137.100810575092,3.36774136861949,19.4982147216797,0.0323663204908371,20.3411293029785,0.0613201931118965,0.0398049466311932
2607164308512061586,1237661387068407853,DIS,24156.6,5351.15,214.99030743524,53.4700093728689,17.9094676971436,0.0025730044580996,18.4391555786133,0.0136941224336624,0.011627028696239
2602519971195011185,1237654880197607537,DIS,18866.55,18866.55,209.110902974274,4.39701061402358,18.1363430023193,0.00389145920053124,18.9217014312744,0.00798341445624828,0.0325980149209499
2595905309443630667,1237658302207033437,DIS,12520.1,12520.1,168.227215614512,57.9875389847678,18.8935050964355,0.00664768926799297,19.4051532745361,0.0110056577250361,0.00946357473731041
2594920146823818970,1237654600489697310,DIS,3806.2,3806.2,150.113118132311,3.37310702926505,16.2315540313721,0.00325011112727225,16.7030429840088,0.00530100148171186,0.0246671829372644
2594779409536785347,1237654600489697310,DIS,5461.25,5461.25,150.113074964566,3.37312884042208,16.2229900360107,0.00279240892268717,16.6652565002441,0.00512511376291513,0.0246671829372644
2588024009894399660,1237660024523915418,DIS,1485,1485,46.0528066370154,-1.19335883645947,17.3862209320068,0.0106092840433121,17.868522644043,0.0170745886862278,0.0766414478421211
2549074909992069708,1237658298997932099,DIS,2590.3,1025.15,160.271071093223,6.41537415011616,18.4292163848877,0.0122948875650764,18.9199104309082,0.0399096608161926,0.0305193457752466
2549039725619972228,1237658298997932099,DIS,692.15,692.15,160.270913272014,6.41542255940255,18.5409259796143,0.025686863809824,18.9583530426025,0.0403100699186325,0.0305193457752466
2540349185913260629,1237662684683042878,DIS,32821.3,181.8,216.963037690604,33.1867961582563,20.0782032012939,0.0104818111285567,-999,-999,0.0106975575909019
2540208448225682696,1237662224615342094,DIS,36982.5,178.95,216.175667637165,35.2672368551883,19.4456977844238,0.00785410311073065,21.8996753692627,0.421318978071213,0.0238632336258888
2539680682644353254,1237658302205853768,DIS,14874.95,14873.95,163.45683437898,57.1193065424009,15.6504154205322,0.00112003611866385,16.1335334777832,0.00236996193416417,0.0107182953506708
2538976995202588137,1237658304352419881,DIS,38545.65,18642.25,158.542341887868,58.0635484923961,16.7536792755127,0.00188419572077692,16.9724426269531,0.00573208043351769,0.00641666073352098
2509668413451803258,1237660671431606348,NGS,10502.7,4657,162.115149644359,12.5336877415875,15.7134962081909,0.00108465878292918,-999,-999,0.0271487701684237
2505903685640397826,1237661125075534097,NGS,12075.8,1604.15,126.663478723106,25.5982626710141,20.3974418640137,0.0194879546761513,21.2786922454834,0.110540963709354,0.0756400525569916
2505903685640397035,1237661125075534003,NGS,12075.8,1604.15,126.640439070704,25.5001166014503,19.5809459686279,0.0103841526433825,20.1081295013428,0.0603900700807571,0.0707047134637833
2505903685640393005,1237664094508744792,NGS,12075.8,1604.15,127.093727651404,25.1250382871682,16.2945556640625,0.00176754454150796,16.7661285400391,0.0113147720694542,0.0425671450793743
