dr12objid,RA,DEC,redShift,nuv_mag,j,jIvar,h,hIvar,k,kIvar,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,nearest_galexid,petromag_r,petror90_r
1237655470207860804,224.692,2.969033,0.0054969,18.04064655303955,15.901,41.62331,15.269,39.5554,13.932,0.0,16.80917,15.77814,15.36254,15.16702,14.99896,2935540053015796349,15.30815,10.86786
1237651249881153539,150.9662,59.43621,0.009996938,16.236669540405302,13.431,452.6936,12.63,400.0,12.407,355.9986,15.3048,14.34393,13.77764,13.58255,13.38935,2486200437069326573,13.87958,11.18245
1237651251509788677,232.7703,55.73802,0.01116161,18.1137428283691,14.98,0.0,14.993,71.81844,14.062,0.0,16.94409,15.8028,15.30537,15.0302,14.81183,6374997171643615953,15.26519,15.00019
1237648720159965190,186.7276,-0.8775588,0.007084649,17.757779121398897,13.177,138.4083,12.448,88.99964,11.863,342.9355,15.08337,13.43261,12.63721,12.23734,11.96783,2413861368054684672,12.838,31.73313
1237652899151478791,32.41051,-10.14627,0.01283949,15.6293697357178,12.784,84.16801,11.797,76.94675,11.158,210.0399,14.35673,13.48134,12.89025,12.62121,12.29433,3210013339880004302,12.90197,13.98066
1237648704046563336,197.8598,-0.2497308,0.01277295,16.7392740249634,14.433,81.16225,13.794,37.63785,13.378,76.94675,15.45389,13.86871,13.12595,12.7627,12.46776,3826197248271718643,13.32401,35.95747
1237648720698867721,191.3833,-0.5357147,0.005418549,14.9760160446167,15.855,19.40655,13.793,0.0,13.701,0.0,14.73675,13.62925,13.10577,12.85584,12.6727,2502350063858095653,13.0416,29.44683
1237651736296816650,186.7435,2.494403,0.005644963,14.4312403202057,14.762,25.25189,14.34,12.66448,13.869,21.83597,13.7239,12.61101,12.01148,11.86676,11.84072,3820391826877054977,12.14151,31.10488
1237651067889909771,183.9994,66.23083,0.004386103,17.46621894836427,12.222,318.8775,11.66,173.1302,11.334,434.0278,14.48373,12.6598,11.93653,11.53577,11.30938,2425718501446522144,11.9196,45.75079
1237651250952667148,141.9739,57.37547,0.01069858,16.26680374145505,14.051,192.9013,12.813,0.0,12.557,0.0,15.32189,13.86909,13.14891,12.7555,12.46075,2421531561167953472,12.95998,45.56307
1237651066279821325,186.8348,64.80151,0.008881462,16.8264827728271,12.912,287.2738,12.228,164.3655,11.884,277.7778,14.73142,13.19833,12.44326,12.06099,11.75256,6374328713671085666,12.66306,38.55878
1237654400766640142,184.417,65.97875,0.007614592,19.1296844482422,15.533,110.8033,14.356,0.0,14.229,0.0,17.19036,16.13083,15.61605,15.38406,15.20577,6374328692196246286,15.84329,10.19923
1237654606947155983,184.8427,6.098671,0.005926562,17.26208000183104,12.842,75.61436,12.062,43.85773,11.769,110.8033,14.47196,12.58818,11.82413,11.36959,11.05363,3124902343595794327,11.65695,47.97791
1237650369407483920,178.3088,-3.408914,0.004143043,17.6681594848633,16.46,29.86055,14.96,0.0,14.719,0.0,17.03518,16.26901,15.99716,15.93501,15.8318,3228977716435888018,15.93089,8.645315
1237651252043513873,222.442,60.39853,0.00772539,16.8883800506592,15.602,44.44444,14.045,0.0,13.849,0.0,16.22797,15.27601,14.8416,14.66246,14.49779,6374469429684600995,14.82368,19.60431
